Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2009,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Voyageurs NP,171,"222,429",0.08%
Abraham Lincoln Birthplace NHP,172,"221,111",0.08%
Kenai Fjords NP,173,"218,358",0.08%
Natchez NHP,174,"218,126",0.08%
Chamizal NMEM,175,"215,852",0.08%
Obed W&SR,176,"212,933",0.07%
Bandelier NM,177,"212,544",0.07%
Bighorn Canyon NRA,178,"205,293",0.07%
Federal Hall NMEM,179,"204,880",0.07%
Dinosaur NM,180,"203,862",0.07%
Fort Donelson NB,181,"203,456",0.07%
Guadalupe Mountains NP,182,"198,882",0.07%
Fort Necessity NB,183,"197,271",0.07%
Craters of the Moon NM & PRES,184,"194,046",0.07%
Stones River NB,185,"189,952",0.07%
Little River Canyon NPRES,186,"189,251",0.07%
Greenbelt Park,187,"188,043",0.07%
Sunset Crater Volcano NM,188,"187,397",0.07%
Missouri NRR,189,"186,313",0.07%
Appomattox Court House NHP,190,"185,443",0.06%
Lincoln Boyhood NMEM,191,"182,172",0.06%
Nez Perce NHP,192,"176,238",0.06%
Black Canyon of the Gunnison NP,193,"171,451",0.06%
Pinnacles NP,194,"171,112",0.06%
Apostle Islands NL,195,"170,202",0.06%
Kaloko Honokohau NHP,196,"166,380",0.06%
Herbert Hoover NHS,197,"162,886",0.06%
Petersburg NB,198,"162,722",0.06%
Wilson's Creek NB,199,"156,230",0.05%
Perry's Victory & Intl. Peace MEM,200,"154,457",0.05%
Flight 93 NMEM,201,"149,668",0.05%
Theodore Roosevelt Island,202,"141,559",0.05%
Timpanogos Cave NM,203,"138,571",0.05%
Andersonville NHS,204,"136,267",0.05%
Richmond NBP,205,"134,634",0.05%
John Day Fossil Beds NM,206,"130,925",0.05%
Lava Beds NM,207,"129,639",0.05%
Jewel Cave NM,208,"129,595",0.05%
Walnut Canyon NM,209,"128,299",0.04%
El Malpais NM,210,"123,290",0.04%
Home of Franklin D. Roosevelt NHS,211,"123,033",0.04%
Congaree NP,212,"122,970",0.04%
Scotts Bluff NM,213,"121,391",0.04%
Allegheny Portage Railroad NHS,214,"118,931",0.04%
Petroglyph NM,215,"118,688",0.04%
Christiansted NHS,216,"114,743",0.04%
Johnstown Flood NMEM,217,"114,350",0.04%
Rainbow Bridge NM,218,"113,460",0.04%
Gauley River NRA,219,"113,185",0.04%
George Washington Birthplace NM,220,"113,083",0.04%
Ocmulgee Mounds NHP,221,"110,819",0.04%
Devils Postpile NM,222,"110,212",0.04%
Coronado NMEM,223,"106,409",0.04%
Tuzigoot NM,224,"106,250",0.04%
George Rogers Clark NHP,225,"103,284",0.04%
General Grant NMEM,226,"100,874",0.04%
Big Thicket NPRES,227,"100,509",0.04%
Hubbell Trading Post NHS,228,"99,267",0.03%
Pu'ukohola Heiau NHS,229,"99,042",0.03%
Lyndon B. Johnson NHP,230,"98,218",0.03%
City of Rocks NRES,231,"96,649",0.03%
Fort Stanwix NM,232,"93,170",0.03%
Natural Bridges NM,233,"92,023",0.03%
Saratoga NHP,234,"89,366",0.03%
Manzanar NHS,235,"89,190",0.03%
Oregon Caves NM & PRES,236,"88,496",0.03%
Great Basin NP,237,"84,974",0.03%
Carl Sandburg Home NHS,238,"83,550",0.03%
New Orleans Jazz NHP,239,"80,828",0.03%
Effigy Mounds NM,240,"78,177",0.03%
Navajo NM,241,"77,901",0.03%
Cumberland Island NS,242,"77,588",0.03%
Casa Grande Ruins NM,243,"76,350",0.03%
Grand Portage NM,244,"76,025",0.03%
Horseshoe Bend NMP,245,"72,232",0.03%
Homestead NM of America,246,"71,301",0.02%
Jimmy Carter NHS,247,"69,972",0.02%
Pipestone NM,248,"69,539",0.02%
Moores Creek NB,249,"68,864",0.02%
Pea Ridge NMP,250,"68,746",0.02%
Niobrara NSR,251,"68,058",0.02%
Steamtown NHS,252,"65,144",0.02%
Florissant Fossil Beds NM,253,"64,251",0.02%
Eisenhower NHS,254,"64,212",0.02%
Fort Smith NHS,255,"63,540",0.02%
Andrew Johnson NHS,256,"63,296",0.02%
Chiricahua NM,257,"60,851",0.02%
Tonto NM,258,"60,534",0.02%
Little Rock Central High School NHS,259,"60,103",0.02%
Wrangell-St. Elias NP & PRES,260,"59,966",0.02%
Tuskegee Airmen NHS,261,"58,417",0.02%
Dayton Aviation Heritage NHP,262,"58,301",0.02%
Fort Laramie NHS,263,"56,923",0.02%
Eleanor Roosevelt NHS,264,"54,393",0.02%
Klondike Gold Rush NHP Seattle,265,"54,219",0.02%
Sagamore Hill NHS,266,"53,800",0.02%
Hopewell Furnace NHS,267,"53,186",0.02%
Whitman Mission NHS,268,"52,605",0.02%
Dry Tortugas NP,269,"52,011",0.02%
Fort Davis NHS,270,"50,968",0.02%
Capulin Volcano NM,271,"50,935",0.02%
Ninety Six NHS,272,"50,689",0.02%
Roger Williams NMEM,273,"50,397",0.02%
Big Hole NB,274,"49,822",0.02%
Pipe Spring NM,275,"49,433",0.02%
El Morro NM,276,"48,245",0.02%
Buck Island Reef NM,277,"47,341",0.02%
Bluestone NSR,278,"45,904",0.02%
Golden Spike NHP,279,"45,334",0.02%
Frederick Douglass NHS,280,"43,483",0.02%
Charles Pinckney NHS,281,"43,447",0.02%
Katmai NP & PRES,282,"43,035",0.02%
Gila Cliff Dwellings NM,283,"43,016",0.02%
Palo Alto Battlefield NHP,284,"41,599",0.01%
Ulysses S. Grant NHS,285,"40,703",0.01%
Tumacacori NHP,286,"40,637",0.01%
Hampton NHS,287,"39,334",0.01%
Longfellow House Washington's HQ NHS,288,"39,065",0.01%
George Washington Carver NM,289,"38,899",0.01%
Aztec Ruins NM,290,"38,234",0.01%
Salinas Pueblo Missions NM,291,"37,848",0.01%
Chaco Culture NHP,292,"37,376",0.01%
Minuteman Missile NHS,293,"36,777",0.01%
Saint-Gaudens NHP,294,"34,558",0.01%
Lake Chelan NRA,295,"34,554",0.01%
Monocacy NB,296,"34,553",0.01%
Pecos NHP,297,"34,522",0.01%
John Muir NHS,298,"34,516",0.01%
Hopewell Culture NHP,299,"34,179",0.01%
Arkansas Post NMEM,300,"32,160",0.01%
Friendship Hill NHS,301,"31,454",0.01%
Tuskegee Institute NHS,302,"31,360",0.01%
Marsh-Billings-Rockefeller NHP,303,"31,129",0.01%
Kalaupapa NHP,304,"30,654",0.01%
Knife River Indian Villages NHS,305,"29,390",0.01%
Fort Scott NHS,306,"28,544",0.01%
Harry S Truman NHS,307,"28,384",0.01%
Bent's Old Fort NHS,308,"28,131",0.01%
Hovenweep NM,309,"27,855",0.01%
Fort Larned NHS,310,"27,443",0.01%
Cane River Creole NHP,311,"27,411",0.01%
Hagerman Fossil Beds NM,312,"27,263",0.01%
Thomas Edison NHP,313,"27,061",0.01%
North Cascades NP,314,"26,972",0.01%
Russell Cave NM,315,"24,087",0.01%
Tallgrass Prairie NPRES,316,"23,713",0.01%
Martin Van Buren NHS,317,"23,216",0.01%
Mary McLeod Bethune Council House NHS,318,"21,811",0.01%
Booker T. Washington NM,319,"21,216",0.01%
Women's Rights NHP,320,"20,620",0.01%
Grant-Kohrs Ranch NHS,321,"20,099",0.01%
Weir Farm NHS,322,"19,386",0.01%
Brown v. Board of Education NHS,323,"19,228",0.01%
William Howard Taft NHS,324,"18,802",0.01%
Fossil Butte NM,325,"18,693",0.01%
Springfield Armory NHS,326,"17,779",0.01%
Edgar Allan Poe NHS,327,"17,463",0.01%
James A. Garfield NHS,328,"17,100",0.01%
John F. Kennedy NHS,329,"16,333",0.01%
Fort Union Trading Post NHS,330,"15,141",0.01%
Isle Royale NP,331,"14,653",0.01%
Saint Paul's Church NHS,332,"14,432",0.01%
Theodore Roosevelt Birthplace NHS,333,"14,390",0.01%
Agate Fossil Beds NM,334,"12,694",0.00%
Theodore Roosevelt Inaugural NHS,335,"11,735",0.00%
Fort Union NM,336,"11,070",0.00%
Clara Barton NHS,337,"10,986",0.00%
Saugus Iron Works NHS,338,"10,529",0.00%
Washita Battlefield NHS,339,"10,527",0.00%
First Ladies NHS,340,"10,466",0.00%
Gates of the Arctic NP & PRES,341,"9,975",0.00%
Maggie L. Walker NHS,342,"9,853",0.00%
Lake Clark NP & PRES,343,"9,711",0.00%
Fort Bowie NHS,344,"9,641",0.00%
Yukon-Charley Rivers NPRES,345,"6,432",0.00%
Thomas Stone NHS,346,"6,268",0.00%
Frederick Law Olmsted NHS,347,"5,007",0.00%
Eugene O'Neill NHS,348,"3,783",0.00%
Thaddeus Kosciuszko NMEM,349,"3,357",0.00%
National Park of American Samoa,350,"3,242",0.00%
Nicodemus NHS,351,"2,978",0.00%
Alibates Flint Quarries NM,352,"2,918",0.00%
Salt River Bay NHP & Ecological Pres,353,"2,540",0.00%
Noatak NPRES,354,"2,474",0.00%
Kobuk Valley NP,355,"1,879",0.00%
Cape Krusenstern NM,356,"1,810",0.00%
Bering Land Bridge NPRES,357,"1,054",0.00%
Rio Grande W&SR,358,947,0.00%
Hamilton Grange NMEM,359,150,0.00%
Aniakchak NM & PRES,360,14,0.00%

