,ParkName,latitude,longitude
201,MARTIN VAN BUREN NHS,42.36978250000001,-73.7041742
202,AFRICAN BURIAL GROUND NM,40.7145049,-74.0043973
203,FIRST LADIES NHS,40.797618,-81.37534099999999
204,GENERAL GRANT NMEM,40.8134045,-73.9630671
205,STONES RIVER NB,35.8731131,-86.43468999999999
206,YELLOWSTONE NP,44.427963,-110.588455
207,GATEWAY ARCH NP,38.6246855,-90.1854426
208,EL MALPAIS NM,34.9002575,-107.9942365
209,CABRILLO NM,32.6735426,-117.2425191
210,SAND CREEK MASSACRE NHS,38.5447972,-102.5038001
211,CAPE COD NS,41.9043472,-69.9789243
212,KINGS CANYON NP,36.8878548,-118.5551477
213,APOSTLE ISLANDS NL,46.9302046,-90.63333209999999
214,WRIGHT BROTHERS NMEM,36.0173187,-75.6692094
215,PETROGLYPH NM,35.1367817,-106.7405057
216,FEDERAL HALL NMEM,40.7073993,-74.0102088
217,VALLEY FORGE NHP,40.1017506,-75.446922
218,SITKA NHP,57.0489056,-135.3159583
219,RICHMOND NBP,37.535554,-77.445781
220,JOHNSTOWN FLOOD NMEM,40.3280079,-78.9204384
221,LOWELL NHP,42.6472093,-71.30956239999999
222,CORONADO NMEM,31.3458652,-110.2537755
223,ORGAN PIPE CACTUS NM,32.0877596,-112.9058802
224,ROGER WILLIAMS NMEM,41.8313318,-71.4107403
225,HARRY S TRUMAN NHS,39.093754,-94.4233898
226,PINNACLES NP,36.4905655,-121.1824925
227,JOHN MUIR NHS,37.99216759999999,-122.1309704
228,HAMILTON GRANGE NMEM,40.8213537,-73.9473103
229,LAKE ROOSEVELT NRA,48.1011309,-118.246639
230,ADAMS NHP,42.25235319999999,-71.0039822
231,ANTIETAM NB,39.4687452,-77.7387923
