,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
82,REDWOOD NP,129,"445,000",0.13%,CA,PW,77715.18,29.36,1.92,77746.46,61101.92,150.99,61252.91,138999.37,8,41.213178799999994,-124.00462749999998
83,BIG BEND NP,130,"440,276",0.13%,TX,IM,775273.38,0.0,0.0,775273.38,2606.87,23282.96,25889.83,801163.21,102,29.1274869,-103.2425379
84,WHITE HOUSE,131,"439,725",0.13%,DC,NC,18.07,0.0,0.0,18.07,0.0,0.0,0.0,18.07,153,38.8976763,-77.0365298
85,SHILOH NMP,133,"435,107",0.13%,TN-MS,SE,5364.74,1.19,0.0,5365.93,958.76,1607.43,2566.19,7932.12,144,35.142936999999996,-88.34084990000001
86,WRIGHT BROTHERS NMEM,135,"414,244",0.13%,NC,SE,421.81,0.0,0.0,421.81,6.63,0.0,6.63,428.44,214,36.017318700000004,-75.6692094
87,CAPE LOOKOUT NS,137,"399,357",0.12%,NC,SE,13915.7,11243.4,14.52,25173.62,3048.16,21.58,3069.74,28243.36,106,34.6227474,-76.52462070000001
88,MONTEZUMA CASTLE NM,138,"398,174",0.12%,AZ,IM,998.69,0.0,0.0,998.69,0.0,16.83,16.83,1015.52,12,34.6115755,-111.83498540000001
89,WAR IN THE PACIFIC NHP,139,"384,610",0.12%,GUAM,PW,957.52,0.0,0.73,958.25,871.96,200.44,1072.4,2030.65,58,13.4737049,144.7090803
90,CHANNEL ISLANDS NP,140,"383,687",0.12%,CA,PW,69425.66,0.0,9592.96,79018.62,124554.15,45988.23,170542.38,249561.0,88,33.996073700000004,-119.7691632
91,COLORADO NM,141,"375,035",0.11%,CO,IM,20536.39,0.0,0.0,20536.39,0.0,0.0,0.0,20536.39,93,39.0575219,-108.6938999
92,SALEM MARITIME NHS,142,"373,630",0.11%,MA,NE,8.93,0.0,0.0,8.93,0.0,0.09,0.09,9.02,78,42.521316299999995,-70.8866429
93,ANTIETAM NB,144,"366,508",0.11%,MD,NC,1937.09,805.68,0.0,2742.77,20.98,466.63,487.61,3230.38,231,39.46874520000001,-77.7387923
94,VANDERBILT MANSION NHS,148,"360,436",0.11%,NY,NE,211.65,0.0,0.0,211.65,0.0,0.0,0.0,211.65,9,41.7963461,-73.9423869
95,HARPERS FERRY NHP,150,"342,535",0.10%,MD-VA-WV,NC,3155.41,53.67,338.97,3548.05,59.1,49.07,108.17,3656.22,107,39.3228225,-77.72920719999998
96,FEDERAL HALL NMEM,151,"325,497",0.10%,NY,NE,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.45,216,40.7073993,-74.0102088
97,DINOSAUR NM,153,"315,859",0.10%,CO-UT,IM,203097.93,2667.58,0.0,205765.51,50.96,4465.45,4516.41,210281.92,59,40.4927109,-108.9416357
98,PATERSON GREAT FALLS NHP,154,"308,199",0.09%,NJ,NE,0.39,0.0,0.0,0.39,50.47,0.46,50.93,51.32,96,40.9172641,-74.18118919999998
99,VIRGIN ISLANDS NP,156,"304,408",0.09%,VI,SE,13101.98,3.0,0.0,13104.98,133.48,1701.54,1835.02,14940.0,113,18.3424047,-64.74857589999999
100,KENAI FJORDS NP,157,"303,598",0.09%,AK,A,603129.86,0.0,0.0,603129.86,19302.0,47218.19,66520.19,669650.05,129,59.69222219999999,-150.6155555
101,MORRISTOWN NHP,166,"268,295",0.08%,NJ,NE,1704.74,0.95,0.0,1705.69,0.0,5.03,5.03,1710.72,111,40.7648452,-74.53168070000001
102,SAN JUAN ISLAND NHP,167,"267,209",0.08%,WA,PW,2114.52,0.0,0.0,2114.52,26.54,4.5,31.04,2145.56,169,48.4550358,-122.97730659999999
103,ORGAN PIPE CACTUS NM,168,"260,534",0.08%,AZ,IM,329114.5,24.42,226.37,329365.29,1280.0,43.57,1323.57,330688.86,223,32.087759600000005,-112.90588020000001
104,ADAMS NHP,169,"255,562",0.08%,MA,NE,9.17,0.0,0.0,9.17,4.0,10.65,14.65,23.82,230,42.25235319999999,-71.00398220000001
105,RIVER RAISIN NBP,172,"238,813",0.07%,MI,MW,42.18,0.0,0.0,42.18,0.0,0.0,0.0,42.18,35,41.9112005,-83.37672649999998
106,NEZ PERCE NHP,173,"238,424",0.07%,MT-ID-OR-WA,PW,1972.61,1885.33,5.12,3863.06,261.2,440.67,701.87,4564.93,139,46.4475305,-116.8227368
107,VOYAGEURS NP,174,"237,250",0.07%,MN,MW,133108.69,0.0,139.03,133247.72,83903.18,1049.25,84952.43,218200.15,125,48.4840955,-92.8270873
108,WUPATKI NM,175,"236,454",0.07%,AZ,IM,35401.73,20.4,0.0,35422.13,0.0,0.0,0.0,35422.13,152,35.5584745,-111.375095
109,DE SOTO NMEM,177,"233,354",0.07%,FL,SE,24.78,0.0,0.0,24.78,0.0,5.22,5.22,30.0,37,27.5222794,-82.6445936
110,NATCHEZ NHP,178,"233,339",0.07%,MS,SE,85.98,0.0,0.0,85.98,5.02,17.3,22.32,108.3,194,31.559982,-91.405937
111,PINNACLES NP,179,"233,334",0.07%,CA,PW,26674.6,0.31,0.0,26674.91,0.0,10.82,10.82,26685.73,226,36.4905655,-121.18249250000001
112,LINCOLN HOME NHS,180,"232,265",0.07%,IL,MW,12.03,0.0,0.0,12.03,0.0,0.21,0.21,12.24,92,39.7973533,-89.64492539999998
113,BIGHORN CANYON NRA,181,"231,836",0.07%,MT-WY,IM,47986.04,889.89,19614.94,68490.87,1392.29,50413.06,51805.35,120296.22,61,45.3109005,-107.9359118
114,STONES RIVER NB,182,"230,562",0.07%,TN,SE,649.49,0.0,0.0,649.49,13.07,46.93,60.0,709.49,205,35.8731131,-86.43468999999997
115,RICHMOND NBP,184,"224,014",0.07%,VA,NE,3648.1,22.43,1.42,3671.95,3.7,4495.2,4498.9,8170.85,219,37.535554,-77.44578100000001
116,COWPENS NB,187,"212,692",0.06%,SC,SE,790.9,0.0,0.0,790.9,46.63,4.03,50.66,841.56,74,35.1367361,-81.8181625
117,BANDELIER NM,188,"209,141",0.06%,NM,IM,33654.44,0.0,0.0,33654.44,0.0,22.23,22.23,33676.67,40,35.7646658,-106.3228338
118,PETERSBURG NB,190,"208,473",0.06%,VA,NE,2656.14,0.12,0.0,2656.26,0.0,6712.08,6712.08,9368.34,118,37.2438545,-77.3568983
119,APOSTLE ISLANDS NL,192,"203,421",0.06%,WI,MW,42160.7,0.0,0.0,42160.7,27216.73,0.0,27216.73,69377.43,213,46.9302046,-90.6333321
120,SITKA NHP,195,"194,880",0.06%,AK,A,58.22,0.0,0.0,58.22,54.63,3.44,58.07,116.29,218,57.0489056,-135.3159583
121,JOHNSTOWN FLOOD NMEM,198,"171,376",0.05%,PA,NE,167.77,1.24,0.0,169.01,5.55,3.2,8.75,177.76,220,40.328007899999996,-78.92043840000001
122,GREAT BASIN NP,202,"168,028",0.05%,NV,PW,77180.0,0.0,0.0,77180.0,0.0,0.0,0.0,77180.0,44,38.98333299999999,-114.3
123,WALNUT CANYON NM,204,"165,134",0.05%,AZ,IM,3251.42,0.0,0.0,3251.42,0.0,277.84,277.84,3529.26,110,35.1717266,-111.50927539999999
124,EL MALPAIS NM,205,"161,526",0.05%,NM,IM,109946.76,0.0,0.0,109946.76,435.61,3964.74,4400.35,114347.11,208,34.9002575,-107.9942365
125,CONGAREE NP,206,"159,595",0.05%,SC,SE,26284.06,0.0,0.0,26284.06,0.0,255.16,255.16,26539.22,119,33.794800099999996,-80.78209620000001
126,PISCATAWAY PARK,208,"154,011",0.05%,MD,NC,1919.85,2670.72,0.0,4590.57,0.0,35.8,35.8,4626.37,16,38.690893,-77.070737
127,SCOTTS BLUFF NM,209,"152,560",0.05%,NE,MW,2953.94,0.27,0.0,2954.21,5.95,44.57,50.52,3004.73,121,41.8391527,-103.7115457
128,HERBERT HOOVER NHS,212,"144,619",0.04%,IA,MW,181.11,0.0,0.0,181.11,4.59,1.1,5.69,186.8,134,41.6689744,-91.3477571
129,JEWEL CAVE NM,213,"144,537",0.04%,SD,MW,1273.51,0.0,0.0,1273.51,0.0,0.0,0.0,1273.51,34,43.7303594,-103.8290512
